Dataset,Subject,Model,Acc,Recall,Prec,F1,ITR
BNCI2014_009,1,LDA,0.6440972222222222,0.5520833333333334,0.24746406413800562,0.3402675402675403,72.1550815964175
BNCI2014_009,1,SVM,0.845486111111111,0.28125,0.5786435786435786,0.37323200731937306,112.69072679072956
BNCI2014_009,1,EEGNet,0.7881944444444445,0.7395833333333334,0.42474663206031393,0.5381008668242712,100.15783543465949
BNCI2014_009,2,LDA,0.6510416666666666,0.53125,0.24819444444444447,0.3380218068535826,73.40653896040322
BNCI2014_009,2,SVM,0.875,0.3854166666666667,0.7386112339672711,0.5048048204789163,119.55600543373785
BNCI2014_009,2,EEGNet,0.8645833333333334,0.78125,0.5800095476787206,0.663769974881086,117.0967843708048
BNCI2014_009,3,LDA,0.6822916666666666,0.28125,0.1906478055298592,0.22723412312019908,79.15311357774392
BNCI2014_009,3,SVM,0.8177083333333334,0.2708333333333333,0.4291068580542265,0.33179710630691023,106.4950402678824
BNCI2014_009,3,EEGNet,0.71875,0.5729166666666666,0.3166408987837559,0.40536889674820714,86.10497146494507
EPFLP300,1,LDA,0.7808373590982286,0.13095238095238096,0.24999999999999997,0.16744366744366745,98.61426689456854
EPFLP300,1,SVM,0.8247987117552334,0.0,0.0,0.0,108.05406260181414
EPFLP300,1,EEGNet,0.6352657004830918,0.2619047619047619,0.1562881562881563,0.19571656413761676,70.57669742432384
EPFLP300,2,LDA,0.8251207729468599,0.047619047619047616,0.3333333333333333,0.08333333333333333,108.12523091256497
EPFLP300,2,SVM,0.6850241545893719,0.26785714285714285,0.15,0.1851851851851852,79.6647234913235
EPFLP300,2,EEGNet,0.6051529790660225,0.3511904761904762,0.17460317460317457,0.229004329004329,65.30359537108383
